longitude,latitude,prec_hiver,prec_printemps,prec_ete,prec_automne,Tmin_hiver,Tmin_printemps,Tmin_ete,Tmin_automne,Tmax_hiver,Tmax_printemps,Tmax_ete,Tmax_automne
-2.287,25.531,0.0,0.0,0.6333333,1.5583334,9.666667,20.333334,29.666666,22.0,24.083334,36.083332,45.0,36.166668
-2.282,25.532,0.0,0.0,0.6333333,1.5583334,9.666667,20.333334,29.666666,22.0,24.083334,36.083332,45.0,36.166668
-2.298,25.533,0.0,0.0,0.6333333,1.5583334,9.666667,20.333334,29.666666,22.0,24.083334,36.083332,45.0,36.166668
-2.293,25.534,0.0,0.0,0.6333333,1.5583334,9.666667,20.333334,29.666666,22.0,24.083334,36.083332,45.0,36.166668
-2.288,25.535,0.0,0.0,0.6333333,1.5583334,9.666667,20.333334,29.666666,22.0,24.083334,36.083332,45.0,36.166668
-2.283,25.536,0.0,0.0,0.6333333,1.5583334,9.666667,20.333334,29.666666,22.0,24.083334,36.083332,45.0,36.166668
-2.294,25.538,0.0,0.0,0.6333333,1.5583334,9.666667,20.333334,29.666666,22.0,24.083334,36.083332,45.0,36.166668
-2.289,25.539,0.0,0.0,0.6333333,1.5583334,9.666667,20.333334,29.666666,22.0,24.083334,36.083332,45.0,36.166668
-2.284,25.539,0.0,0.0,0.6333333,1.5583334,9.666667,20.333334,29.666666,22.0,24.083334,36.083332,45.0,36.166668
2.878,25.77,1.2833333,0.8083334,0.875,0.70000005,8.333333,18.333334,28.666666,21.333334,25.333334,35.833332,44.5,36.666668
2.874,25.772,1.2833333,0.8083334,0.875,0.70000005,8.333333,18.333334,28.666666,21.333334,25.333334,35.833332,44.5,36.666668
2.873,25.773,1.2833333,0.8083334,0.875,0.70000005,8.333333,18.333334,28.666666,21.333334,25.333334,35.833332,44.5,36.666668
-4.333,25.947,0.6666667,0.16666667,0.9166667,1.6999999,9.666667,20.5,29.333334,21.666666,24.916666,36.25,45.25,36.0
8.396,26.003,2.4333334,3.1916666,1.2333332,1.4499999,5.6666665,16.833334,25.833334,18.083334,20.25,30.75,38.916668,31.0
-2.581,26.2,0.29999998,0.26666668,0.33333334,1.4916667,9.0,20.333334,29.5,21.666666,23.833334,35.666668,44.916668,35.833332
-2.579,26.2,0.29999998,0.26666668,0.33333334,1.4916667,9.0,20.333334,29.5,21.666666,23.833334,35.666668,44.916668,35.833332
-2.576,26.201,0.29999998,0.26666668,0.33333334,1.4916667,9.0,20.333334,29.5,21.666666,23.833334,35.666668,44.916668,35.833332
-2.574,26.201,0.29999998,0.26666668,0.33333334,1.4916667,9.0,20.333334,29.5,21.666666,23.833334,35.666668,44.916668,35.833332
-2.571,26.202,0.29999998,0.26666668,0.33333334,1.4916667,9.0,20.333334,29.5,21.666666,23.833334,35.666668,44.916668,35.833332
-2.569,26.202,0.29999998,0.26666668,0.33333334,1.4916667,9.0,20.333334,29.5,21.666666,23.833334,35.666668,44.916668,35.833332
-2.566,26.202,0.29999998,0.26666668,0.33333334,1.4916667,9.0,20.333334,29.5,21.666666,23.833334,35.666668,44.916668,35.833332
-2.582,26.203,0.29999998,0.26666668,0.33333334,1.4916667,9.0,20.333334,29.5,21.666666,23.833334,35.666668,44.916668,35.833332
-2.58,26.204,0.29999998,0.26666668,0.33333334,1.4916667,9.0,20.333334,29.5,21.666666,23.833334,35.666668,44.916668,35.833332
-2.577,26.204,0.29999998,0.26666668,0.33333334,1.4916667,9.0,20.333334,29.5,21.666666,23.833334,35.666668,44.916668,35.833332
-2.575,26.205,0.29999998,0.26666668,0.33333334,1.4916667,9.0,20.333334,29.5,21.666666,23.833334,35.666668,44.916668,35.833332
-2.572,26.205,0.29999998,0.26666668,0.33333334,1.4916667,9.0,20.333334,29.5,21.666666,23.833334,35.666668,44.916668,35.833332
-2.57,26.206,0.29999998,0.26666668,0.33333334,1.4916667,9.0,20.333334,29.5,21.666666,23.833334,35.666668,44.916668,35.833332
-2.567,26.206,0.29999998,0.26666668,0.33333334,1.4916667,9.0,20.333334,29.5,21.666666,23.833334,35.666668,44.916668,35.833332
-2.583,26.207,0.29999998,0.26666668,0.33333334,1.4916667,9.0,20.333334,29.5,21.666666,23.833334,35.666668,44.916668,35.833332
-2.565,26.207,0.29999998,0.26666668,0.33333334,1.4916667,9.0,20.333334,29.5,21.666666,23.833334,35.666668,44.916668,35.833332
-2.581,26.208,0.29999998,0.26666668,0.33333334,1.4916667,9.0,20.333334,29.5,21.666666,23.833334,35.666668,44.916668,35.833332
-2.578,26.208,0.29999998,0.26666668,0.33333334,1.4916667,9.0,20.333334,29.5,21.666666,23.833334,35.666668,44.916668,35.833332
-2.576,26.209,0.29999998,0.26666668,0.33333334,1.4916667,9.0,20.333334,29.5,21.666666,23.833334,35.666668,44.916668,35.833332
-2.573,26.209,0.29999998,0.26666668,0.33333334,1.4916667,9.0,20.333334,29.5,21.666666,23.833334,35.666668,44.916668,35.833332
-2.57,26.21,0.29999998,0.26666668,0.33333334,1.4916667,9.0,20.333334,29.5,21.666666,23.833334,35.666668,44.916668,35.833332
-2.568,26.21,0.29999998,0.26666668,0.33333334,1.4916667,9.0,20.333334,29.5,21.666666,23.833334,35.666668,44.916668,35.833332
-2.565,26.21,0.29999998,0.26666668,0.33333334,1.4916667,9.0,20.333334,29.5,21.666666,23.833334,35.666668,44.916668,35.833332
-2.582,26.211,0.29999998,0.26666668,0.33333334,1.4916667,9.0,20.333334,29.5,21.666666,23.833334,35.666668,44.916668,35.833332
-2.579,26.212,0.29999998,0.26666668,0.33333334,1.4916667,9.0,20.333334,29.5,21.666666,23.833334,35.666668,44.916668,35.833332
